Voller Name des VO,Kurzform des Namens,Beschreibungstext (1000 Zeichen),Straße,Nr.,PLZ,Adressenzusatz,Öffnungszeiten (optional),Bild,Homepage,Email,Veranstaltungsort,Veranstalter,LAT,LON
Offenes Wohnzimmer,,"Ehrenamtlich organisierter „Wohnzimmer‑“Raum von und für Nachbar*innen. Die Initiative lädt zu Begegnung, Austausch, Wissensaustausch und Mitmachprojekten ein; angeboten werden u.a. offene Küche, Piano‑Brunch und Bar‑Abende.",Waldenserstraße,13,10551,,Öffnungszeiten nach Veranstaltungsplan; Freiwillige gesucht,,http://www.offeneswohnzimmer.org/,machbarschaft@posteo.de,x,x,5.253.269.674.008.180,13.338.965.568.331.800
Neue Nachbarschaft / Moabit e.V.,,"Gemeinnütziger Verein (seit 2013), der ein interdisziplinäres kulturelles und soziales Programm für Menschen mit und ohne Migrations‑ bzw. Fluchterfahrung bietet. Ziel ist ein solidarisches Zusammenleben ohne Hierarchien; u.a. wird auch das Strandbad Tegelsee mit einem integrativen Konzept wiederbelebt.",Beusselstraße,44,10553,,,,http://www.neuenachbarschaft.de/,info@neuenachbarschaft.de,x,x,5.253.227.955.082.940,13.323.684.532.383.300
Theater X,,"Alternatives Community‑Theater, das von Jugendlichen und Arbeiter*innen selbstverwaltet wird. Junge Teilnehmende lernen Schauspiel, Licht‑ und Eventtechnik sowie selbständige künstlerische Produktion; das Theater dient als Raum für kritische Auseinandersetzungen mit gesellschaftlichen Verhältnissen und als Plattform für lokale Initiativen.",Wiclefstraße,32,10551,,,,http://www.theater-x.com/,info@theater-x.com,x,x,5.253.269.674.008.180,13.338.965.568.331.800
B‑Laden,,"Selbstverwalteter Nachbarschaftsladen auf der Lehrter Straße. Der Verein „Für eine billige Prachtstraße – Lehrter Straße e.V.“ betreibt das B‑Laden seit 1989, organisiert Versammlungen zu aktuellen Themen, kleine kulturelle Veranstaltungen und hält ein Archiv zur Stadtteilentwicklung bereit.",Lehrter Straße,27–30,10557,,Mo & Do 15:00–18:00 Uhr (oft länger),,http://www.lehrter-strasse-berlin.net/,b-laden@lehrter-strasse-berlin.net,x,,525.252.332.996.821,13.361.574.164.608.300
Heilige‑Geist‑Kirche,,Evangelische Kirche am Stephankiez. Die 1905–1906 nach Plänen von August Dinklage und Ernst Paulus erbaute Backsteinkirche bildet das städtebauliche Zentrum des Viertels.,Perleberger Straße,36,10559,,,,http://www.heilige-geist-gemeinde.de/,info@heilige-geist-gemeinde.de,x,x,52.532.481.329.730.300,13.352.219.124.531.400
Heilandskirche,,Evangelische Kirche in der Thusnelda‑Allee; sie gehört zur Kirchengemeinde Tiergarten.,Thusnelda‑Allee,1,10555,,,,https://www.ev-gemeinde-tiergarten.de/,kuesterei@ev-gemeinde-tiergarten.de,x,,5.252.391.046.972.480,13.337.884.362.734.600
Erlöserkirche,,"Evangelische Kirche (Erlöserkirche Moabit) am Wikingerufer; Teil der Gemeinde Tiergarten, erbaut Anfang 20. Jhd.",Wikingerufer,10,10555,,,,https://www.ev-gemeinde-tiergarten.de/,kuesterei@ev-gemeinde-tiergarten.de,x,,5.252.391.046.972.480,13.337.884.362.734.600
St. Johanniskirche,,"Historische Kirche, die als einziges Gebäude die Entwürfe der Architekten Schinkel, Stüler, Spitta und Bartning vereint; sie gehört zur ev. Gemeinde Tiergarten.",Alt‑Moabit,25,10559,,,,https://www.ev-gemeinde-tiergarten.de/,kuesterei@ev-gemeinde-tiergarten.de,x,x,52.532.481.329.730.300,13.352.219.124.531.400
Evangelische Gemeinde Tiergarten,,"Evangelische Kirchengemeinde mit mehreren Kirchen (u.a. St. Johanniskirche, Erlöserkirche, Heilandskirche) und vielfältigem Gemeindeleben.",Alt‑Moabit,25,10559,,,,https://www.ev-gemeinde-tiergarten.de/,kuesterei@ev-gemeinde-tiergarten.de,,,52.532.481.329.730.300,13.352.219.124.531.400
BOLLE Festsäle,,"Ehemalige Fabrik‑Kapelle der C. Bolle AG (erbaut 1890) mit großem Ballsaal. Die Festsäle wurden 1893 von Kaiserin Auguste Viktoria eingeweiht und dienten später als Produktionshalle, Kino und Theater. Heute stehen sie als Eventlocation mit hohen Decken, unverputzten Ziegelwänden und industriellem Charme zur Verfügung.",Alt‑Moabit,98,10559,,,,https://www.bolle-meierei.com/,info@bolle-meierei.com,x,,52.532.481.329.730.300,13.352.219.124.531.400
Wow Space – Kreative Workshops & Coworking,,"Kreativer Coworking‑Space für Workshops und Co‑Living. Die Location an der Bochumer Straße ist ideal für digitale Nomad*innen und Remote‑Worker, die eine lebendige Community suchen.",Bochumer Straße,27,10555,,,,http://www.coworking-in-berlin.de/,hallo@coworking-in-berlin.de,x,x,5.252.391.046.972.480,13.337.884.362.734.600
Rooftop Office,,"Helles, einladendes Coworking‑Büro mit großzügiger Dachterrasse in zentraler Lage. Die Arbeitsplätze bieten höhenverstellbare Tische, Telefonbox, Schließfächer und eine inspirierende Atmosphäre für konzentriertes Arbeiten und Netzwerk‑Events.",Alt‑Moabit,91b,10559,,Mo–Fr 09:00–16:00 Uhr,,https://www.rooftopoffice.berlin/,hello@rooftopoffice.berlin,x,x,52.532.481.329.730.300,13.352.219.124.531.400
Afrika Haus,,"Ort für transkulturelle Begegnungen und politische Bildung. Das Afrika‑Haus bietet Raum für bis zu 80 Gäste für Diskussionsrunden, Filmvorführungen, Lesungen, Theateraufführungen, Ausstellungen und Musik, thematisiert afrikanische Geschichte, Politik, Literatur und afrikanisch‑europäische Beziehungen.",Bochumer Straße,25,10555,,,,http://www.afrikahaus-berlin.de/,afrikahaus@t-online.de,x,x,5.252.391.046.972.480,13.337.884.362.734.600
UA Nest Berlin,,Begegnungs‑ und Coworking‑Ort der ukrainischen Community; u.a. finden hier Peer‑Support‑Gruppen statt. Laut Hudara‑Artikel treffen sich Unterstützungsgruppen in der Levetzowstraße 13.,Levetzowstraße,13,10555,,,,https://uanest.berlin/en/,info@araminta-advisers.eu,x,x,5.252.391.046.972.480,13.337.884.362.734.600
**Wulle,Café & Speisenwirtschaft**,"Gemütliches Café und Restaurant mit hervorragendem Kaffee, hausgemachtem Kuchen, originellen Sandwich‑Kreationen, wöchentlicher Mittagskarte, herzhafter Hausmannskost und Bieren vom Fass. Gäste können drinnen oder auf der Terrasse entspannen und die Sonne genießen.",Wullenweberstraße,15,10555,,"Mo–Mi 15:00–23:00, Do–Fr 10:30–23:00 (Küche bis 22:30); geschlossen Sa/So außer für Events; monatlich Tanztee am Sonntag",,https://www.wulle-berlin.de/,contact@wulle-berlin.de,,x,5.252.391.046.972.480,13.337.884.362.734.600
Loam Berlin,,"Keramik‑Studio und Laden von Künstlerin Jana. Loam dient als Lernort, bietet Kurse für alle Levels, Studio‑Nutzung, Mitgliedschaften und individuelle Töpfer‑Events. Ein Treffpunkt für die Berliner Keramik‑Community.",Elberfelder Straße,18,10555,,Di & Fr 12:00–18:00 Uhr,,http://www.loamberlin.com/,hello@loamberlin.com,,,5.252.391.046.972.480,13.337.884.362.734.600
Levy Galerie (Berlin Raum),,"Kunstgalerie mit Filiale in Alt‑Moabit, die Ausstellungen u.a. zum Surrealisten André Masson präsentiert; sie legt Wert auf vielfältige Techniken und erkennt den transformatorischen Charakter von Kunst.",Alt‑Moabit,110,10559,,Mi–Sa 11:00–18:00 Uhr,,https://levy-galerie.de/,info@levy-galerie.de,x,x,52.532.481.329.730.300,13.352.219.124.531.400
TSV GutsMuths 1861 e.V.,TSV GutsMuths,"Großer Mehrsparten‑Sportverein mit über 3 000 Mitgliedern. Er bietet vielfältige Sportarten und verfolgt das Ziel, seinen Mitgliedern sportliche Betätigung und gesellschaftliche Teilhabe zu ermöglichen; finanziert wird der Verein durch Mitgliedsbeiträge und Spenden.",Wullenweberstraße,15,10555,,,,https://www.tsvgutsmuths-berlin.de/,info@tsvgutsmuths-berlin.de,x,,5.252.391.046.972.480,13.337.884.362.734.600
EVM Treff Moabit (Erbbauverein Moabit),,Treffpunkt der Genossenschaft EVM Berlin. In den EVM‑Treffs organisieren Mitglieder Veranstaltungen und bieten Beratung – ein beliebter Anlaufpunkt für Gemeinschaftsaktivitäten der Bewohner*innen. Ansprechpartnerin ist Babette Falkenberg; das Büro befindet sich am Eingang Stromstraße.,Essener Straße,32,10555,Eingang Stromstraße,,,https://www.evmberlin.de/,infobuero-moabit@evmberlin.de,x,x,5.252.391.046.972.480,13.337.884.362.734.600
GymArtistic Berlin e.V.,GymArtistic,"Gemeinnütziger Turnverein, der sich fast ausschließlich durch Mitgliedsbeiträge und Spenden finanziert. Ziel ist ein qualitativ hochwertiges Training unter qualifizierten Übungsleiterinnen und mit modernen Geräten. Der Verein investiert in neue Sportgeräte, schult Trainerinnen und beteiligt sich an Wettkämpfen im Gerätturnen und TeamGym.",Paulstraße,20 c,10557,,Trainingszeiten siehe Website,,https://www.gymartistic.de/,info@gymartistic.de,,,525.252.332.996.821,13.361.574.164.608.300
Berliner Tennis‑Club Rot‑Gold e.V.,BTC Rot‑Gold,"Tennisverein mit Sandplätzen am Stadion Rehberge und Geschäftsstelle in der Solinger Straße. Der Club ist Mitglied im Tennis‑Verband Berlin‑Brandenburg, bietet Trainings‑ und Wettkampfmöglichkeiten und wird von ehrenamtlichem Vorstand geführt.",Solinger Straße,4,10555,,,,https://www.btc-rotgold.de/,info@btc-rotgold.de,,,5.252.391.046.972.480,13.337.884.362.734.600
Allgemeiner Sport‑Verein Berlin e.V. (ASV Berlin),ASV Berlin,"Mehrsparten‑Sportverein (seit 1949) in der Mitte Berlins. Das Angebot umfasst Boxen, Fußball, Judo, Leichtathletik, Taekwondo, Tischtennis, Turnen, Volleyball sowie Freizeit‑ und Reha‑Sport. Die Ballsportmannschaften nehmen an Ligen teil; Kinder‑ und Breitensport haben einen hohen Stellenwert.",Lehrter Straße,59,10557,,Geschäftsstelle im Poststadion Di 15:00–17:30 Uhr,,https://www.asv-berlin-ev.de/,info@asv-berlin-ev.de,,,525.252.332.996.821,13.361.574.164.608.300
SpVgg Tiergarten 58 e.V.,SpVgg Tiergarten 58,"Fußballverein mit idyllisch gelegener Sportanlage zwischen Charlottenburger Verbindungskanal und Spree. Auf einem großen und einem kleinen Kunstrasenplatz in Moabit‑West trainieren Jugend‑ und Erwachsenenmannschaften; die Postanschrift lautet Turmstraße 78, die Sportanlage befindet sich am Neuen Ufer 2‑5.",Turmstraße,78,10551,"Sportplatz: Neues Ufer 2‑5, 10553 Berlin",Do 17:30–19:30 Uhr,,https://www.spvgg-tiergarten.de/,sven.fervers@spvgg-tiergarten.de,,,5.253.269.674.008.180,13.338.965.568.331.800
Tennis‑Club Tiergarten e.V.,Tennis‑Club Tiergarten,Tennisverein in Moabit. Auf der Anlage an der Kruppstraße gibt es mehrere Plätze; der Club bietet Trainingsangebote für Erwachsene und Kinder (zeitweise Aufnahmestopp). Die Geschäftsstelle ist Mo und Fr 10–13 Uhr sowie Mi 15–18 Uhr besetzt.,Kruppstraße,15 b,10557,,Mo & Fr 10:00–13:00; Mi 15:00–18:00 oder nach Vereinbarung,,https://www.tennisclub-tiergarten.de/,info@tennisclub-tiergarten.de,,,525.252.332.996.821,13.361.574.164.608.300
Moabiter Frauen Sport Verein ( Moabiter FSV 2010 e.V. ),Moabiter FSV,"Frauen‑Fußballverein, der Mädchen‑ und Frauenmannschaften in verschiedenen Ligen betreibt. Der Verein steht für Gleichberechtigung im Sport und veranstaltet Heimspiele und Trainings auf dem Poststadion‑Gelände in der Lehrter Straße.",Lehrter Straße,59,10557,,,,https://moabiter-fsv.de/,info@moabiter-fsv.de,,,525.252.332.996.821,13.361.574.164.608.300
Tennis-Club Tiergarten e.V.,,,Kruppstraße,15b,10557,,,,https://www.tennisclub-tiergarten.de/,info@tennisclub-tiergarten.de,,,525.252.332.996.821,13.361.574.164.608.300
Moabiter FSV,,,Lehrter Straße,59,10557,,,,https://moabiter-fsv.de/,info@moabiter-fsv.de,,,525.252.332.996.821,13.361.574.164.608.300
Beraberce e.V. – Mädchenverein,Beraberce e.V.,"Interkultureller Mädchenverein, der Mädchen und junge Frauen einen sicheren Raum bietet. Es werden vertrauliche Beratungen zu schulischen Schwierigkeiten, Familienkonflikten, Gewalt in der Familie, Liebe, Sexualität, Missbrauch und Sucht sowie Bildungs‑ und Freizeitangebote (Hausaufgaben‑ und Prüfungshilfe, Bewerbungstraining, Computerkurse) angeboten. Der Verein fördert Selbstständigkeit und Integration und unterstützt Eltern und Familien.",Wilhelmshavener Str.,61,10551,–,–,,–,maedchenverein@beraberce.de,,,5.253.269.674.008.180,13.338.965.568.331.800
DÜNJA Mädchen‑Kultur‑Treff,Dünja,"Offener Mädchentreff (8–25 Jahre) für Mädchen und junge Frauen aller Kulturen. DÜNJA bietet Hausaufgaben‑ und Berufsorientierung, Computerkurse, Beratung, Kunst‑ und Kulturprojekte, Gespräche, Sport, Kochen und Ausflüge. Mädchen werden aktiv in die Gestaltung des Programms einbezogen; Eltern können Beratungs‑ und Frauen­gruppen nutzen. Ziel ist es, Teilhabe, Selbstbewusstsein und gegenseitigen Respekt zu fördern.",Jagowstraße,12,10555,–,Mo–Fr 14:00‑19:30 Uhr (Ferien 13‑17 Uhr),,moabiter‑ratschlag.de/duenja,duenja@moabiter‑ratschlag.de,,,5.252.391.046.972.480,13.337.884.362.734.600
Jugendhaus B8 (Bethania Diakonie),Jugendhaus B8,"Offene Kinder‑ und Jugendeinrichtung (8–15 Jahre). Neben dem offenen Jugendclub werden Fußball, Beachvolleyball, Nähen, Kochen und Medienprojekte angeboten. Das Haus fördert soziales Lernen, kreative Freizeitgestaltung und unterstützt bei Schulfragen.",Berlichingenstraße,8–11,10553,–,Mo–Fr 15–20 Uhr; Sa 13–18 Uhr; Ferien: Mo–Sa 13–18 Uhr,,bethania.de/jugendhausb8,jugendhausb8@bethania.de,,,5.253.227.955.082.940,13.323.684.532.383.300
Arabischer Jugendclub Karame e.V.,Karame e.V.,"Arabischer Jugendclub, der Jugendlichen Orientierung und Unterstützung bietet. Er fördert die Verbundenheit zur Herkunftskultur, stärkt das Selbstbewusstsein, organisiert Freizeitangebote, Hausaufgaben­hilfe und Projekte zu Beruf und Ausbildung und setzt sich für Toleranz und Gleichberechtigung ein.",Wilhelmshavener Str.,22,10551,–,Mo–Fr 13–19 Uhr; So nach Vereinbarung,,karame.de,info@karame.de,,,5.253.269.674.008.180,13.338.965.568.331.800
Otto‑Spielplatz (Moabiter Ratschlag),Otto‑Spielplatz,"Abenteuer‑ und Wasserspielplatz auf 5 000 m² für Kinder ab fünf Jahren. Neben freiem Spiel gibt es eine Wasserspiel­anlage, Klettergeräte, Fahrzeuge, einen Garten, Holz‑ und Bastelwerkstatt sowie Kochangebote. Das Gelände fördert selbstbestimmtes Spielen, Kreativität und Bewegung und steht auch Tagesgruppen und Eltern offen.",Alt‑Moabit,34,10555,–,April–Okt: Mo–Fr 10–12:30 & 15–19 Uhr; Mai–Sep Sa 14–18 Uhr; Nov–März: Mo–Fr 10–18 Uhr,,moabiter‑ratschlag.de/Otto‑Spielplatz,nele.fliegner@moabiter‑ratschlag.de,,,5.252.391.046.972.480,13.337.884.362.734.600
Schlupfwinkel (Klubheim e.V.),Schlupfwinkel,"Jugendclub für 12‑ bis 21‑jährige mit professioneller Betreuung. Die Einrichtung bietet Tischtennis, Fußball, Billard, Hausaufgabenhilfe, Koch‑ und Bastelaktionen sowie Raum für Gespräche. Ziel ist es, jungen Menschen einen sicheren Treffpunkt zu bieten und sie in ihrer Entwicklung zu unterstützen.",Kaiserin‑Augusta‑Allee,98–100,10553,–,Mo/Do/Fr 13–21 Uhr; So 14–20 Uhr,,klubheim‑berlin.de,schlupfwinkel@klubheim‑berlin.de,,,5.253.227.955.082.940,13.323.684.532.383.300
SOS‑Kinder‑ und Familienzentrum Berlin‑Moabit (SOS‑Kinderdorf Berlin e.V.),SOS‑Kinderdorf Berlin,"Das Mehrgenerationenhaus vereint vielfältige Angebote für Kinder, Jugendliche, Familien und ältere Menschen unterschiedlicher kultureller Hintergründe. Es bietet Beratung (u. a. Sozial‑ und Familienberatung), Kurse zur Lese‑, Schreib‑ und Rechenförderung, eine Cafeteria, Kunstwerkstatt, Ausstellungen, sportliche Angebote und Kulturprojekte und stärkt damit das Miteinander im Stadtteil.",Waldstraße,23/24,10551,–,Mo–Fr 09–18 Uhr; Sa 15–18 Uhr,,sos‑kinderdorf.de/kinderdorf‑berlin,kd‑berlin‑moabit@sos‑kinderdorf.de,,,5.253.269.674.008.180,13.338.965.568.331.800
Wolfgang‑Scheunemann‑Haus (Bredow‑Treff),Bredow‑Treff,"Kinder‑ und Jugendtreff mit offenem Kinder‑ und Jugendangebot, Mädchentreff mit Fitnessbereich, Hausaufgabenhilfe, Sport‑ und Medienarbeit und Tanz. Ziel ist es, Kindern und Jugendlichen einen sicheren Ort für Freizeit und Bildung zu bieten und sie zur Selbstständigkeit zu ermutigen.",Bredowstraße,31–32,10551,–,"Allgemein: Mo–Mi 13–22 Uhr, Do–Fr 13–19:30 Uhr, So (Winter) 13–17 Uhr",,bredow‑treff.de,scheunemannhaus@web.de,,,5.253.269.674.008.180,13.338.965.568.331.800
Stadtschloss Moabit – Nachbarschaftshaus,Stadtschloss,"Stadtteilzentrum und Nachbarschaftshaus, in dem Bewohnerinnen und Bewohner selbst Kurse, Gruppen und Veranstaltungen organisieren können. Es gibt Töpfer‑ und Tanzkurse, Singen, VHS‑Kurse, Lesen, Seniorensport, Sozialberatung, Familiennachmittage, Nachhilfe, Theater‑ und Nähwerkstatt, Yoga und vieles mehr. Das Haus versteht sich als Treffpunkt für Engagement und Beteiligung.",Rostocker Str.,32/32B,10553,–,Mo–Fr 12–18 Uhr,,moabiter‑ratschlag.de/nachbarschaftshaus,info@moabiter‑ratschlag.de,,,5.253.227.955.082.940,13.323.684.532.383.300
Transaidency e.V.,Transaidency,"Der Verein entwickelt humanitäre Hilfs‑ und Bildungsprojekte. In Moabit stärkt das Projekt „Jugend für die Zukunft“ geflüchtete und migrantische Jugendliche mit Sprachförderung, Selbst­fürsorge‑Workshops und Fortbildungen für Fachkräfte. Ziel ist es, Selbstvertrauen und Partizipation zu fördern.",Ufnaustraße,3,10553,–,–,,transaidency.org,info@transaidency.org,,,5.253.227.955.082.940,13.323.684.532.383.300
Treff am Otto‑Park,Treff am Otto‑Park,"Offener Treffpunkt für ältere Frauen mit Kursen und Freizeitangeboten: Malen, Sport, Qi Gong, Nähen, Spiele, Lesen, Sprach‑ und PC‑Kurse, Gedächtnistraining, Upcycling‑Workshops, Ausflüge und Veranstaltungen. Darüber hinaus informieren einzelne Veranstaltungen über Themen wie Prävention, Erste Hilfe oder Engagement.",Ottostraße,5,10555,–,–,,moabiter‑ratschlag.de/treff‑am‑ottopark,treff‑am‑ottopark@moabiter‑ratschlag.de,,,5.252.391.046.972.480,13.337.884.362.734.600
Psychosoziale Initiative Moabit e.V.,PIM e.V.,"Verein für gemeindenahe Psychiatrie. Er betreibt therapeutische Wohngemeinschaften, Betreutes Wohnen und ein psychosoziales Zentrum mit Tagesstätte, Kontakt‑ und Beratungsstelle für Erwachsene in Mitte/Tiergarten. Der Verein unterstützt auch Geflüchtete und fördert soziale Teilhabe.",Waldstraße,7,10551,–,–,,pim‑berlin.de,kontakt@pim‑berlin.de,,,5.253.269.674.008.180,13.338.965.568.331.800
Kurt‑Tucholsky‑Bibliothek (Stadtbibliothek Mitte),Kurt‑Tucholsky‑Bibliothek,"Kiezbibliothek mit ca. 65 000 Medien und 18 000 digitalen Medien. Sie bietet Bücher und Medien in mehreren Sprachen, Sprachkurse, CDs, Spiele und PCs mit Internetzugang. Ziel ist die Förderung von Lesekompetenz und Medienbildung; es gibt Veranstaltungen für Kinder und Erwachsene.",Rostocker Str.,32b,10553,–,Mo–Fr 12:30–18 Uhr,,berlin.de/stadtbibliothek‑mitte,tucholsky@stb‑mitte.de,,,5.253.227.955.082.940,13.323.684.532.383.300
Quartiersmanagement Beusselstraße,QM Beusselstraße,"Quartiersmanagement im Beussel‑ und Huttenkiez. Das Stadtteilbüro entwickelt und begleitet Projekte zur Verbesserung der Lebensqualität, stärkt nachbarschaftliches Miteinander und beteiligt Bewohner*innen an Stadtentwicklungs­prozessen.",Rostocker Str.,35,10553,–,–,,qm‑beusselstrasse.de,qm‑moabit@stern‑berlin.de,,,5.253.227.955.082.940,13.323.684.532.383.300
Quartiersmanagement Moabit‑Ost,QM Moabit‑Ost,"Quartiersmanagement‑Team, das soziale, kulturelle und bauliche Projekte zur Stärkung des Quartiers Moabit‑Ost koordiniert. Es unterstützt Bewohner*innen, fördert Nachbarschaftsnetzwerke und arbeitet an der Verbesserung der Wohn‑ und Lebensbedingungen.",Wilsnacker Str.,34,10559,–,Mo–Fr 10–16 Uhr,,moabit‑ost.de,team@moabit‑ost.de,,,52.532.481.329.730.300,13.352.219.124.531.400
"Moawald (Tiny Forest, Kiezwald e.V.)",Moawald,"„Tiny‑Forest“‑Projekt im Moabiter Stadtgarten. Auf rund 400 m² wurden im November 2024 circa 400 Setzlinge gepflanzt, um einen dicht bewaldeten Miniwald zu schaffen. Der Moawald dient als offenes Bildungs‑ und Erholungsgebiet, fördert Biodiversität und Klimaresilienz und lädt Nachbar*innen zum Mitmachen ein.",Siemensstraße (Moabiter Stadtgarten),27,10551,Im Stadtgarten,–,,zku‑berlin.org (Projektseite),–,,,5.253.269.674.008.180,13.338.965.568.331.800
Waldstraßen‑Initiative,Waldstraßen‑Initiative,"Ehrenamtliche Initiative, die sich um die Bewässerung der Straßenbäume und die Pflege von Grünflächen in der Waldstraße kümmert. Freiwillige treffen sich an einem Container, nutzen Hydrantenwasser zum Gießen und laden Nachbar*innen ein, sich an der Pflege der Stadtbäume zu beteiligen.",Waldstraße,13,10551,Container zwischen Waldenserstr. und Wiclefstr.,–,,waldstrassen‑initiative (Blog),waldstr@yahoo.com,,,5.253.269.674.008.180,13.338.965.568.331.800
Familienzentrum Moabit‑Ost,Familienzentrum Moabit‑Ost,"Offenes Familienzentrum, das insbesondere Familien mit nichtdeutscher Herkunft oder geringem Einkommen unterstützt. Es bietet Kurse, Spiel‑ und Begegnungsgruppen, Beratung und Freizeitaktivitäten und versteht sich als inklusiver Treffpunkt für alle Familien.",Rathenower Str.,17,10559,im Zille‑Haus,–,,familienzentrum‑moabit.de,info@familienzentrum‑moabit.de,,,52.532.481.329.730.300,13.352.219.124.531.400
GenerationenRaum gGmbH,GenerationenRaum,"Gemeinnützige Gesellschaft zur Förderung des generationenübergreifenden Lernens. Seit 2011 werden pädagogische Innovation, Vielfalt und Partizipation gefördert. Das Angebot richtet sich an Kinder, Jugendliche, Eltern und Fachkräfte und beinhaltet Bildungs‑ und Freizeitprogramme sowie Beratung.",Stephanstraße,53,10559,–,"Telefonsprechzeiten: Mo & Fr 9:00–11:30 Uhr, Mi 13:30–16:00",,generationenraum.de,kontakt@generationenraum.de,,,52.532.481.329.730.300,13.352.219.124.531.400
